"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"United States","USA","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.205154296994419","0.207010402927843","0.204062469974757","0.204499200782622","0.204499200782622","0.201442085127569","0.198712517578415","0.195982950029261","0.193253382480107","0.192707468970276","0.192161555460445","0.191615641950614","0.191069728440784","0.190632997632919","0.190632997632919","0.190632997632919","0.190087084123088","0.204062469974757","0.204062469974757","0.204062469974757","0.204062469974757","0.222077615799174","0.222077615799174","0.222077615799174","0.222077615799174","0.222077615799174","0.222077615799174","0.222077615799174","0.227143693170404","0.232209770541634","0.237275847912863","0.242341925284093","0.247408002655323","0.252474080026553","0.257540157397783","0.262606234769013","0.267672312140243","0.272738389511473","0.277804466882703","0.282779155460864","0.287843596102127","0.297972477384653","0.29859734640774","0.294991442841675","0.293999620166952","0.284566990325172","0.293753492717684","0.294858550279751","0.298835409328532","0.300939718521725","0.302323168718611","0.30653331759119","0.310017141445347","0.310361172877161","0.316121922902851","0.325333700650019","0.328941275244823","0.327012097400141","0.334837582618924","0.340161488157317","0.345791490934056","0.347628074364138","0.346611394251057","",
"United States","USA","Arable land (hectares)","AG.LND.ARBL.HA","","180630000","177095000","179574000","177966000","177000000","175705000","174487000","181000000","189244000","188735000","188140000","187545000","187050000","186472000","186472000","186472000","186552000","188755000","188755000","188755000","188755000","187765000","187765000","187765000","187765000","187765000","185742000","185742000","185695600","185649200","185602800","183960400","182682000","181826600","181780200","178900800","177640400","176784000","175523600","175477200","175462800","172977000","170725875","168513512","166277199","164118220","161788654","160428347.1","159037511.2","157663804.3","156296691.4","154903721.5","155417671.4","155960342.3","156453464.2","156915018.1","157427836","156304948","155092830","153903595","152711560","151554225.1","151563525.1","",
"United States","USA","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","92.0164037466108","93.6281737949762","92.3455790533736","92.1036019937929","90.5368390178497","93.2007813696951","94.6423479188901","97.6147428250649","97.5626557421452","96.3880423079359","98.0701301968677","96.4481672565841","96.4528586717738","96.6335864929602","97.8860216234016","102.15390864636","101.21290237467","94.6439908213022","92.397805224809","91.1041279890491","104.916431168831","97.357248512484","94.5563608562691","88.4347142601218","101.709667491069","81.856343894791","77.4742971534163","75.8420794192998","79.1859362188754","76.845094565083","73.0166822721598","73.8439263277013","78.0950274725275","75.9099193019036","77.3015085785751","74.9435459940653","83.4669017808163","84.8611563454934","95.3829612934897","106.152796142604","102.811244488296","108.693413684843","130.333092149735","120.358072441266","118.474620613296","128.148694787267","117.530454171734","108.366006120962","135.382331837172","128.711119197104","131.050211207123","133.628072811301","127.151938021705","121.210477274025","123.115598940024","117.267977889103","110.404235222384","109.304071151444","104.671621177646","106.612571923877","110.002614621725","100.791156541127","100.791156541127","",
"United States","USA","Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","SE.TER.CUAT.ST.FE.ZS","","","","","","","","","","","18.6599998474121","","","","","22.2000007629394","","","","26.8999996185303","28.1000003814697","27.9899997711182","","","","","","","","","","","","","44.5499992370605","","","","30.7137686743796","31.6391867906237","32.399030839853","33.3034549690414","34.1997289072444","34.9652467794683","37.2099990844727","36.0099983215332","37.5999984741211","37.7020393602746","38.439998626709","39.1500015258789","39.9000015258789","40.5299987792969","41.1199989318848","42.1599998474121","42.8699989318848","43.4300003051758","44.6199989318848","45.9092200146643","46.439998626709","47.8764912274275","49.7700004577637","49.8460335455208","50.2400016784668","51.0278229630097","51.9797439409437",
"United States","USA","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.DO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.997052378968461","1.0303885240219","1.04421906367051","1.06590261565289","1.11743330691961","1.18148429654623","1.19623244884809","1.24374023324547","1.21860474471829","1.21714701285406","1.27856725200405","1.28765116688425","1.32658610685697","1.27864249608635","1.2782499778767","1.29188011704357","1.40273258936566","1.49665064754897","1.55506676921953","1.67999994754791","1.76999998092651","1.70000004768372","1.85000002384186","1.89880351313001","2.02999997138977","2.01936192219572","2.08999991416931","2.11829980726411","2.14000010490417","2.19523458812483","2.29690777721687",
"United States","USA","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","SE.TER.CUAT.BA.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.3827744287061","26.0272581555942","26.4018917086974","26.5907291389714","27.2142457542346","27.9626524479488","28.0953551502009","28.3383570469843","28.7901648787122","29.1991673906784","29.4430646422584","29.1710389475945","29.6425349108759","30.1227335895077","30.4290299154383","30.3829441492653","30.3928788696957","30.6959360684873","31.3215722170049","31.9500007629394","31.9099998474121","32.310001373291","33.1599998474121","31.3559093475342","34.6399993896484","35.2781102141976","36.6699981689453","33.926570892334","36.2400016784668","37.4344711303711","37.565135152789",
"United States","USA","Adolescents out of school, female (% of female lower secondary school age)","SE.SEC.UNER.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.375470012426376","","",
"United States","USA","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","",
"United States","USA","Trained teachers in secondary education, male (% of male teachers)","SE.SEC.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","",
"United States","USA","Trained teachers in secondary education, female (% of female teachers)","SE.SEC.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","",
"United States","USA","School enrollment, secondary, private (% of total secondary)","SE.SEC.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.63580989837646","9.65194988250732","","","","","","","","","","","","","","8.09158039093018","7.91138982772827","8.14797019958496","8.86135959625244","8.95263004302979","8.94999027252197","8.89398956298828","8.47694969177246","9.22517967224121","8.45228958129883","9.11812973022461","",
"United States","USA","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.2021102905273","","","","","","","","96.0696334838867","96.3625335693359","97.1537170410156","99.0528335571289","99.1985168457031","99.7356567382812","100.902122497559","101.560943603516","101.046821594238","96.351806640625","","",
"United States","USA","Secondary education, vocational pupils","SE.SEC.ENRL.VO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Secondary education, general pupils (% female)","SE.SEC.ENRL.GC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.78903","48.81884","","","","","","","",
"United States","USA","Secondary education, duration (years)","SE.SEC.DURS","","","","","","","","","","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6",
"United States","USA","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.PO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","SE.SEC.CUAT.LO.MA.ZS","","","","","","","","","","","64.4599990844727","","","","","91.129997253418","","","","92.3000030517578","92.3499984741211","92.6699981689453","","","","","","","","","","","","","90.9800033569336","95.9286164695379","96.0971327098747","96.1301764374076","96.2371034549924","96.4165840426049","96.3339430791801","96.3410219201215","96.3021729954658","96.287922900312","93.8000030517578","93.5","93.9000015258789","96.5846726381762","94.2399978637695","94.3399963378906","94.5899963378906","94.75","94.8099975585938","95","95.0800018310547","95.1800003051758","95.4599990844727","94.8094100952148","95.9800033569336","97.5718236312272","96.370002746582","95.0670928955078","96.3300018310547","96.4077911376953","97.8227377547087",
"United States","USA","Lower secondary completion rate, female (% of relevant age group)","SE.SEC.CMPT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.716148376465","106.05152130127","103.739189147949","104.176078796387","107.54955291748","100.608238220215","","",
"United States","USA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104076","","","","","","","","334205","","214356","36772","","64864","123016","245238","500796","517634","","",
"United States","USA","Adjusted net enrollment rate, primary, male (% of primary school age children)","SE.PRM.TENR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1522","","","","","97.58749","95.8711","97.51406","97.73349","97.67179","94.21559","99.70812","95.60171","","","","","","","",
